First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Julio,Franco,NYM,First Baseman,73,188,48.52
Jamie,Moyer,PHI,Starting Pitcher,72,175,44.28
Stephen,Drew,ARZ,Shortstop,72,185,23.96
Barry,Bonds,SF,Outfielder,74,228,42.6
Kenny,Rogers,DET,Starting Pitcher,73,211,42.3
Roberto,Hernandez,CLE,Relief Pitcher,76,250,42.3
Craig,Biggio,HOU,Second Baseman,71,185,41.21
Mike,Timlin,BOS,Relief Pitcher,76,210,40.97
Tom,Glavine,NYM,Starting Pitcher,72,185,40.93
Greg,Maddux,SD,Starting Pitcher,72,185,40.88
Jose,Mesa,DET,Relief Pitcher,75,232,40.77
Jeff,Conine,CIN,Outfielder,73,220,40.68
Moises,Alou,NYM,Outfielder,75,220,40.66
Tim,Wakefield,BOS,Starting Pitcher,74,210,40.58
Woody,Williams,HOU,Starting Pitcher,72,200,40.53
Curt,Schilling,BOS,Starting Pitcher,77,235,40.29
Omar,Vizquel,SF,Shortstop,69,175,39.85
Rheal,Cormier,CIN,Relief Pitcher,70,195,39.85
John,Smoltz,ATL,Starting Pitcher,75,220,39.79
Doug,Brocail,SD,Relief Pitcher,77,235,39.79
Mike,Stanton,CIN,Relief Pitcher,73,215,39.75
Kenny,Lofton,TEX,Outfielder,72,180,39.75
Luis,Gonzalez,LA,Outfielder,74,200,39.49
Trevor,Hoffman,SD,Relief Pitcher,72,215,39.38
Tom,Gordon,PHI,Relief Pitcher,70,190,39.28
Reggie,Sanders,KC,Outfielder,73,205,39.25
Jeff,Kent,LA,Second Baseman,73,210,38.98
Todd,Jones,DET,Relief Pitcher,75,230,38.85
Frank,Thomas,TOR,Designated Hitter,77,275,38.76
Mike,Piazza,OAK,Catcher,75,215,38.49
Brian,Shouse,MLW,Relief Pitcher,71,190,38.43
Russ,Springer,STL,Relief Pitcher,76,211,38.31
Sammy,Sosa,TEX,Outfielder,72,220,38.3
Gary,Sheffield,DET,Outfielder,72,205,38.28
Mike,Mussina,NYY,Starting Pitcher,74,185,38.23
Orlando,Palmeiro,HOU,Outfielder,71,180,38.11
Bob,Wickman,ATL,Relief Pitcher,73,240,38.06
Brad,Ausmus,HOU,Catcher,71,190,37.88
Dustin,Moseley,ANA,Starting Pitcher,76,190,37.74
Mike,Myers,NYY,Relief Pitcher,75,219,37.68
So,Taguchi,STL,Outfielder,70,163,37.66
Jeff,Cirillo,MIN,Third Baseman,73,200,37.43
David,Weathers,CIN,Relief Pitcher,75,230,37.43
Orlando,Hernandez,NYM,Starting Pitcher,74,220,37.39
Jose,Valentin,NYM,Second Baseman,70,195,37.38
Damian,Miller,MLW,Catcher,75,220,37.38
Hector,Carrasco,ANA,Relief Pitcher,74,220,37.36
Mark,Sweeney,SF,First Baseman,73,215,37.34
Damion,Easley,NYM,Shortstop,71,190,37.3
Ken,Griffey,CIN,Outfielder,75,205,37.27
Mariano,Rivera,NYY,Relief Pitcher,74,170,37.25
Scott,Hatteberg,CIN,First Baseman,73,210,37.21
Royce,Clayton,TOR,Shortstop,72,185,37.16
Alan,Embree,OAK,Relief Pitcher,74,190,37.1
Takashi,Saito,LA,Relief Pitcher,73,202,37.04
Jon,Lieber,PHI,Starting Pitcher,74,230,36.91
Ricardo,Rincon,STL,Relief Pitcher,69,190,36.88
Tom,Martin,COL,Relief Pitcher,73,206,36.78
Jim,Edmonds,STL,Outfielder,73,212,36.68
Mark,Grudzielanek,KC,Second Baseman,73,190,36.67
Craig,Counsell,MLW,Shortstop,72,184,36.53
Jim,Thome,CWS,Designated Hitter,76,244,36.51
Dan,Miceli,TB,Relief Pitcher,72,215,36.47
Darren,Oliver,ANA,Relief Pitcher,74,220,36.4
Olmedo,Saenz,LA,First Baseman,71,221,36.39
Tanyon,Sturtze,ATL,Relief Pitcher,77,200,36.38
Doug,Mirabelli,BOS,Catcher,73,220,36.37
Steve,Trachsel,BAL,Starting Pitcher,76,205,36.33
Javy,Lopez,COL,Designated Hitter,75,224,36.32
Paul,Byrd,CLE,Starting Pitcher,73,190,36.24
Jason,Giambi,NYY,Designated Hitter,75,230,36.14
Elmer,Dessens,LA,Relief Pitcher,70,198,36.13
Brian,Giles,SD,Outfielder,70,205,36.11
Miguel,Batista,SEA,Starting Pitcher,73,197,36.03
Gregg,Zaun,TOR,Catcher,70,190,35.88
Joe,Borowski,CLE,Relief Pitcher,74,225,35.82
Mike,Redmond,MIN,Catcher,71,200,35.82
Ryan,Klesko,SF,Outfielder,75,220,35.72
Chris,Gomez,BAL,First Baseman,73,188,35.71
Jamie,Walker,BAL,Relief Pitcher,74,195,35.67
Ron,Mahay,TEX,Relief Pitcher,74,185,35.67
Brendan,Donnelly,BOS,Relief Pitcher,75,240,35.66
Billy,Wagner,NYM,Relief Pitcher,71,195,35.6
Mark,Loretta,HOU,Second Baseman,72,186,35.55
Jorge,Posada,NYY,Catcher,74,205,35.54
Henry,Blanco,CHC,Catcher,71,224,35.5
Rich,Aurilia,SF,Third Baseman,73,189,35.49
Kevin,Millar,BAL,First Baseman,72,210,35.43
Pedro,Martinez,NYM,Starting Pitcher,71,180,35.35
Matt,Miller,CLE,Relief Pitcher,75,215,35.27
Ray,Durham,SF,Second Baseman,68,196,35.25
Ivan,Rodriguez,DET,Catcher,69,218,35.25
